tau,QOCO,QOCO-GPU,CuClarabel,Mosek
2.4268973260573206,0.175,0.875,0.85,0.25
2.4309376841204626,0.175,0.875,0.85,0.25
2.43498476867059,0.175,0.875,0.85,0.25
2.439038590906123,0.175,0.875,0.85,0.25
2.4430991620441245,0.175,0.875,0.85,0.25
2.4471664933203336,0.175,0.875,0.85,0.25
2.451240595989193,0.175,0.875,0.85,0.25
2.455321481323883,0.175,0.875,0.85,0.25
2.459409160616352,0.175,0.875,0.85,0.25
2.4635036451773473,0.175,0.875,0.85,0.25
2.4676049463364453,0.175,0.875,0.85,0.25
2.471713075442087,0.175,0.875,0.85,0.25
2.475828043861604,0.175,0.875,0.85,0.25
2.4799498629812535,0.175,0.875,0.85,0.25
2.4840785442062487,0.175,0.875,0.85,0.25
2.488214098960791,0.175,0.875,0.85,0.25
2.4923565386881,0.175,0.875,0.85,0.25
2.496505874850447,0.175,0.875,0.85,0.25
2.500662118929186,0.175,0.875,0.85,0.25
2.5048252824247856,0.175,0.875,0.85,0.25
2.5089953768568596,0.175,0.875,0.85,0.25
2.513172413764201,0.175,0.875,0.85,0.25
2.5173564047048127,0.175,0.875,0.85,0.25
2.521547361255939,0.175,0.875,0.85,0.25
2.5257452950140995,0.175,0.875,0.85,0.25
2.5299502175951183,0.175,0.875,0.85,0.25
2.5341621406341597,0.175,0.875,0.85,0.25
2.538381075785757,0.175,0.875,0.85,0.25
